name,protein,fat,carbohydrates,sugar,sodium,calories,class,,
Country-fried Steak & Eggs Skillet,47.0,56.0,61.0,2.0,2420.0,940.0,1,,
Raw,6.0,5.0,1.0,0.0,0.0,70.0,1,,
Eggs,8.0,6.0,1.0,0.0,90.0,90.0,1,,
Eggs,6.0,5.0,1.0,0.0,70.0,70.0,1,,
Fresh White Eggs,6.0,4.5,1.0,0.0,70.0,70.0,1,,
Fried Rice,10.95,11.6,41.88,1.5,925.0,321.0,1,,
Eggs,6.0,5.0,0.0,0.0,70.0,70.0,1,,
Fried With Extra Virgin Olive Oil,6.3,19.0,0.4,0.4,0.0,194.0,1,,
Eggs,6.0,4.0,1.0,0.0,65.0,70.0,1,,
Eggs,6.0,5.0,1.0,0.0,70.0,70.0,1,,
Pan-Fried Potatoes With Eggs,7.0,13.0,42.0,5.0,840.0,320.0,1,,
"Whole, Large - Pan Fried",6.0,7.0,0.0,0.0,94.0,90.0,1,,
Eggs,12.0,13.0,2.0,0.0,130.0,170.0,1,,
Eggs,6.0,4.0,1.0,0.0,70.0,60.0,1,,
Eggs,6.0,5.0,1.0,0.0,70.0,70.0,1,,
Tofu - Fried,17.19,20.18,10.49,2.72,16.0,271.0,1,,
Fried,5.0,7.0,0.0,0.0,0.0,80.0,1,,
Fried,0.6,3.1,3.9,0.0,0.0,46.0,1,,
Eggs,7.3,6.5,0.0,0.0,0.08,88.0,1,,
Mcdonalds,4.0,19.0,48.0,0.0,270.0,380.0,1,,
Fried,29.0,13.0,17.0,0.0,0.0,300.0,1,,
Fried Eggs,13.0,12.0,1.0,0.0,160.0,170.0,1,,
"Jumbo Eggs, 2 Over Easy, Fried",16.0,12.0,0.0,0.0,180.0,180.0,1,,
Eggs,6.0,5.0,0.0,0.0,0.0,70.0,1,,
2 Eggs Fried In 10ml Olive Oil,13.0,20.0,0.0,0.0,0.0,230.0,1,,
"2 Eggs Over Hard, Cooked In Butter",0.0,63.5,0.0,0.0,0.0,175.0,1,,
2 Fried Eggs,13.0,12.0,1.0,0.0,160.0,170.0,1,,
2 Eggs Fried No Salt,12.0,10.0,3.0,0.0,130.0,140.0,1,,
Pork Fried Rice,11.94,12.87,41.94,1.41,598.0,335.0,1,,
Eggs,6.0,5.0,1.0,0.0,70.0,70.0,1,,
1 Lg Fried (70g W/shell) Eggs,12.0,10.0,0.0,0.0,10.0,140.0,1,,
Boiled Egg,6.0,5.0,1.0,0.0,65.0,70.0,1,,
Eggs,15.0,14.0,0.0,0.0,0.0,200.0,1,,
Scrambled Eggs,15.0,11.0,1.0,0.0,180.0,170.0,1,,
Eggs,6.0,5.0,1.0,0.0,70.0,70.0,1,,
Scrambled Eggs,6.0,4.5,1.0,0.0,65.0,70.0,1,,
Fried Potatoes and Eggs (In Margarin),7.0,16.0,46.0,0.0,0.0,219.0,1,,
Boiled egg,12.58,10.61,1.12,1.12,124.0,155.0,0,,
Boiled Egg,6.0,5.0,1.0,0.0,65.0,70.0,0,,
Hard Boiled - Large,6.29,5.3,0.56,0.56,62.0,78.0,0,,
Hard Boiled Eggs,11.0526,8.3687,0.6336,0.3256,124.958,125.838,0,,
Boiled Eggs,13.0,11.0,1.1,1.1,124.0,155.0,0,,
Two Boiled,12.0,10.0,0.56,0.56,139.0,138.0,0,,
2 Hard Boiled Eggs - No Carb,12.0,3.0,0.0,0.0,140.0,140.0,0,,
One Boiled,6.5,6.7,0.2,0.0,0.0,80.0,0,,
2 Boiled Eggs,6.25,6.01,0.0,0.0,63.0,75.0,0,,
Hard-Boiled Eggs,6.0,4.5,1.0,0.0,65.0,70.0,0,,
Hard Boiled Peeled,6.0,5.0,0.6,0.6,62.0,78.0,0,,
Hard Boiled Eggs,6.0,5.0,1.0,1.0,70.0,78.0,0,,
Eggs - Pickled,5.89,4.97,0.5,0.5,40.0,72.0,0,,
Half-Boiled Eggs,12.6,10.6,1.2,0.0,0.0,156.0,0,,
Hard Boiled,11.0,9.0,0.0,0.0,129.0,130.0,0,,
Hard Boiled Eggs,6.0,4.5,1.0,0.0,65.0,70.0,0,,
Boiled Quail Eggs,5.0,5.0,1.0,0.0,70.0,75.0,0,,
Hard-Boiled Eggs,6.0,4.0,1.0,0.0,55.0,70.0,0,,
Hard-boiled Eggs,12.0,8.0,0.0,0.0,120.0,140.0,0,,
2 Boiled Eggs,6.29,5.3,0.56,0.0,0.0,78.0,0,,
Boiled Eggs,6.0,4.0,0.0,0.0,60.0,60.0,0,,
Hard Boiled Eggs,12.0,5.0,1.0,1.0,62.0,150.0,0,,
Hard Boiled Eggs (Peeled),6.0,4.0,0.0,0.0,60.0,60.0,0,,
"Large, Fresh, Boiled, Poached",6.0,4.7,1.0,0.2,149.0,70.0,0,,
3 Hard Boiled Eggs,18.0,15.0,1.5,1.8,186.0,234.0,0,,
Hard Boiled,16.0,27.0,3.6,0.6,48.0,322.0,0,,
Egg White Hard Boiled,3.6,0.1,0.2,0.2,55.0,17.0,0,,
Half Boiled Eggs,12.6,10.6,1.2,0.0,0.0,156.0,0,,
Hard-Boiled Eggs,6.0,4.5,1.0,0.0,65.0,70.0,0,,
Boiled Eggs,6.0,4.0,0.0,0.0,60.0,60.0,0,,
Hard Boiled Eggs 1 - Whites Only,3.6,0.2,0.2,0.2,55.0,17.0,0,,
2 Small Eggs Boiled,9.0,7.0,0.0,0.0,0.0,109.0,0,,
Boiled Eggs,6.0,4.5,1.0,0.0,55.0,70.0,0,,
Hard Boiled Eggs,60.0,3.6,2.1,0.0,0.0,65.0,0,,
Hard Boiled Eggs,6.0,4.5,1.0,0.0,65.0,70.0,0,,
Boiled Medium Egg,10.0,6.0,0.0,0.0,0.0,66.0,0,,
Hard Boiled Eggs,6.0,5.0,1.0,0.0,0.0,70.0,0,,
Hard Boiled & Peeled Eggs,5.0,4.5,0.0,0.0,40.0,60.0,0,,
Boiled Egg Salad (3 Eggs),18.0,0.0,0.0,0.0,0.0,200.048,0,,
3 Boiled Eggs,21.0,18.0,0.0,0.0,0.0,246.0,0,,
3 Soft Boiled Eggs,19.0,15.0,1.5,1.0,246.0,220.0,0,,
Soft Boiled Eggs,6.0,4.0,1.0,0.0,65.0,60.0,0,,
2 Medium Hard Boiled Eggs,5.51,4.65,2.0,0.49,122.0,136.0,0,,
